*******************************************************************************
 Revised: July 31, 2013             Moon / (Earth)                          301
 
 GEOPHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius, km  = 1737.53+-0.03    Mass, x10^22 kg       =    7.349
  Radius (gravity), km  = 1738.0           Surface emissivity    =    0.92
  Radius (IAU), km      = 1737.4           GM, km^3/s^2          = 4902.800066
  Density, g/cm^3       =    3.3437        GM 1-sigma, km^3/s^2  =  +-0.0001  
  V(1,0)                =   +0.21          Surface accel., m/s^2 =    1.62
  Earth/Moon mass ratio = 81.3005690769    Farside crust. thick. = ~80 - 90 km
  Mean crustal density  = 2.97+-.07 g/cm^3 Nearside crust. thick.= 58+-8 km 
  Heat flow, Apollo 15  = 3.1+-.6 mW/m^2   Mean angular diameter = 31'05.2"
  Heat flow, Apollo 17  = 2.2+-.5 mW/m^2   Sid. rot. rate, rad/s = 0.0000026617
  Geometric Albedo      = 0.12             Mean solar day        = 29.5306 d
  Obliquity to orbit    = 6.67 deg         Orbit period          = 27.321582 d
  Semi-major axis, a    = 384400 km        Eccentricity          = 0.05490
  Mean motion, rad/s    = 2.6616995x10^-6  Inclination           = 5.145 deg
  Apsidal period        = 3231.50 d        Nodal period          = 6798.38 d
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1414+-7     1323+-7     1368+-7
  Maximum Planetary IR (W/m^2)   1314        1226        1268
  Minimum Planetary IR (W/m^2)      5.2         5.2         5.2
********************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Mar  7 15:43:28 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Nov-16 09:03:00.0000 TDB
Stop  time      : A.D. 2022-Dec-11 17:21:14.7640 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1x (position w/uncertainties: XYZ)
EOP file        : eop.230306.p230530
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAR-06. PREDICTS-> 2023-MAY-29
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
*****************************************************************************************************************************************************************************
$$SOE
2459899.877083333, A.D. 2022-Nov-16 09:03:00.0000, -3.139943618544854E+05,  2.485901069568035E+05,  3.654472352429324E+04,            n.a.,            n.a.,            n.a.,
2459899.918750000, A.D. 2022-Nov-16 10:03:00.0000, -3.160683972468479E+05,  2.457739799292457E+05,  3.648532846745811E+04,            n.a.,            n.a.,            n.a.,
2459899.960416667, A.D. 2022-Nov-16 11:03:00.0000, -3.181168192077684E+05,  2.429379593020522E+05,  3.642297797754794E+04,            n.a.,            n.a.,            n.a.,
2459900.002083333, A.D. 2022-Nov-16 12:03:00.0000, -3.201394430783699E+05,  2.400822540765195E+05,  3.635767461410791E+04,            n.a.,            n.a.,            n.a.,
2459900.043750000, A.D. 2022-Nov-16 13:03:00.0000, -3.221360855693981E+05,  2.372070749043034E+05,  3.628942113500938E+04,            n.a.,            n.a.,            n.a.,
2459900.085416667, A.D. 2022-Nov-16 14:03:00.0000, -3.241065647729386E+05,  2.343126340864080E+05,  3.621822049710694E+04,            n.a.,            n.a.,            n.a.,
2459900.127083333, A.D. 2022-Nov-16 15:03:00.0000, -3.260507001743274E+05,  2.313991455721733E+05,  3.614407585690721E+04,            n.a.,            n.a.,            n.a.,
2459900.168750000, A.D. 2022-Nov-16 16:03:00.0000, -3.279683126642542E+05,  2.284668249582564E+05,  3.606699057124912E+04,            n.a.,            n.a.,            n.a.,
2459900.210416667, A.D. 2022-Nov-16 17:03:00.0000, -3.298592245510647E+05,  2.255158894876011E+05,  3.598696819799613E+04,            n.a.,            n.a.,            n.a.,
2459900.252083333, A.D. 2022-Nov-16 18:03:00.0000, -3.317232595732622E+05,  2.225465580483920E+05,  3.590401249673922E+04,            n.a.,            n.a.,            n.a.,
2459900.293750000, A.D. 2022-Nov-16 19:03:00.0000, -3.335602429122129E+05,  2.195590511729878E+05,  3.581812742951159E+04,            n.a.,            n.a.,            n.a.,
2459900.335416667, A.D. 2022-Nov-16 20:03:00.0000, -3.353700012050560E+05,  2.165535910368271E+05,  3.572931716151383E+04,            n.a.,            n.a.,            n.a.,
2459900.377083333, A.D. 2022-Nov-16 21:03:00.0000, -3.371523625578232E+05,  2.135304014573049E+05,  3.563758606185045E+04,            n.a.,            n.a.,            n.a.,
2459900.418750000, A.D. 2022-Nov-16 22:03:00.0000, -3.389071565587677E+05,  2.104897078926106E+05,  3.554293870427653E+04,            n.a.,            n.a.,            n.a.,
2459900.460416667, A.D. 2022-Nov-16 23:03:00.0000, -3.406342142919067E+05,  2.074317374405252E+05,  3.544537986795507E+04,            n.a.,            n.a.,            n.a.,
2459900.502083333, A.D. 2022-Nov-17 00:03:00.0000, -3.423333683507805E+05,  2.043567188371706E+05,  3.534491453822439E+04,            n.a.,            n.a.,            n.a.,
2459900.543750000, A.D. 2022-Nov-17 01:03:00.0000, -3.440044528524267E+05,  2.012648824557036E+05,  3.524154790737529E+04,            n.a.,            n.a.,            n.a.,
2459900.585416667, A.D. 2022-Nov-17 02:03:00.0000, -3.456473034515792E+05,  1.981564603049596E+05,  3.513528537543859E+04,            n.a.,            n.a.,            n.a.,
2459900.627083333, A.D. 2022-Nov-17 03:03:00.0000, -3.472617573550848E+05,  1.950316860280238E+05,  3.502613255098173E+04,            n.a.,            n.a.,            n.a.,
2459900.668750000, A.D. 2022-Nov-17 04:03:00.0000, -3.488476533365439E+05,  1.918907949007307E+05,  3.491409525191372E+04,            n.a.,            n.a.,            n.a.,
2459900.710416667, A.D. 2022-Nov-17 05:03:00.0000, -3.504048317511795E+05,  1.887340238300918E+05,  3.479917950630016E+04,            n.a.,            n.a.,            n.a.,
2459900.752083333, A.D. 2022-Nov-17 06:03:00.0000, -3.519331345509322E+05,  1.855616113526398E+05,  3.468139155318616E+04,            n.a.,            n.a.,            n.a.,
2459900.793750000, A.D. 2022-Nov-17 07:03:00.0000, -3.534324052997864E+05,  1.823737976326853E+05,  3.456073784342793E+04,            n.a.,            n.a.,            n.a.,
2459900.835416667, A.D. 2022-Nov-17 08:03:00.0000, -3.549024891893261E+05,  1.791708244604776E+05,  3.443722504053230E+04,            n.a.,            n.a.,            n.a.,
2459900.877083333, A.D. 2022-Nov-17 09:03:00.0000, -3.563432330545245E+05,  1.759529352502656E+05,  3.431086002150353E+04,            n.a.,            n.a.,            n.a.,
2459900.918750000, A.D. 2022-Nov-17 10:03:00.0000, -3.577544853897673E+05,  1.727203750382501E+05,  3.418164987769796E+04,            n.a.,            n.a.,            n.a.,
2459900.960416667, A.D. 2022-Nov-17 11:03:00.0000, -3.591360963651104E+05,  1.694733904804224E+05,  3.404960191568499E+04,            n.a.,            n.a.,            n.a.,
2459901.002083333, A.D. 2022-Nov-17 12:03:00.0000, -3.604879178427762E+05,  1.662122298502827E+05,  3.391472365811521E+04,            n.a.,            n.a.,            n.a.,
2459901.043750000, A.D. 2022-Nov-17 13:03:00.0000, -3.618098033938851E+05,  1.629371430364313E+05,  3.377702284459415E+04,            n.a.,            n.a.,            n.a.,
2459901.085416667, A.D. 2022-Nov-17 14:03:00.0000, -3.631016083154282E+05,  1.596483815400244E+05,  3.363650743256236E+04,            n.a.,            n.a.,            n.a.,
2459901.127083333, A.D. 2022-Nov-17 15:03:00.0000, -3.643631896474769E+05,  1.563461984720911E+05,  3.349318559818028E+04,            n.a.,            n.a.,            n.a.,
2459901.168750000, A.D. 2022-Nov-17 16:03:00.0000, -3.655944061906348E+05,  1.530308485507003E+05,  3.334706573721868E+04,            n.a.,            n.a.,            n.a.,
2459901.210416667, A.D. 2022-Nov-17 17:03:00.0000, -3.667951185237291E+05,  1.497025880979747E+05,  3.319815646595306E+04,            n.a.,            n.a.,            n.a.,
2459901.252083333, A.D. 2022-Nov-17 18:03:00.0000, -3.679651890217435E+05,  1.463616750369408E+05,  3.304646662206243E+04,            n.a.,            n.a.,            n.a.,
2459901.293750000, A.D. 2022-Nov-17 19:03:00.0000, -3.691044818739931E+05,  1.430083688882107E+05,  3.289200526553155E+04,            n.a.,            n.a.,            n.a.,
